City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bluff,15,NZ,1583345160,87,-46.6,168.33,41.0,1.99
Atuona,12,PF,1583345161,74,-9.8,-139.03,81.03,12.91
Aklavik,75,CA,1583345161,67,68.22,-135.01,-27.4,3.36
Longyearbyen,75,SJ,1583345162,85,78.22,15.64,15.8,9.17
Nokaneng,78,BW,1583345163,80,-19.67,22.27,69.28,8.52
Hongjiang,87,CN,1583345164,90,27.11,110.0,43.54,0.27
Upernavik,99,GL,1583345037,67,72.79,-56.15,-11.29,5.61
State College,75,US,1583345165,43,40.79,-77.86,53.01,10.29
Ushuaia,75,AR,1583345166,62,-54.8,-68.3,59.0,4.7
Dawlatabad,94,AF,1583345167,66,36.41,64.91,42.31,9.4
Busselton,63,AU,1583345168,50,-33.65,115.33,62.01,10.16
Turukhansk,100,RU,1583345169,95,65.82,87.98,15.58,9.17
Tasiilaq,75,GL,1583345170,80,65.61,-37.64,30.2,10.29
Mar del Plata,20,AR,1583345015,69,-38.0,-57.56,79.0,11.41
Lebu,6,CL,1583345171,40,-37.62,-73.65,72.16,12.73
Esperance,0,AU,1583345171,77,-33.87,121.9,60.8,12.75
Sioux Lookout,90,CA,1583345172,62,50.1,-91.92,21.2,2.66
Kenmare,75,IE,1583345173,75,51.88,-9.58,46.4,4.7
Rikitea,93,PF,1583345173,78,-23.12,-134.97,77.32,22.41
Jijiga,52,ET,1583344941,58,9.35,42.8,66.83,4.56
Torbay,90,CA,1583345114,100,47.67,-52.73,45.0,13.87
Havelock,90,US,1583345173,55,34.88,-76.9,63.0,10.29
Albany,75,US,1583345174,39,42.6,-73.97,48.99,28.86
Faanui,90,PF,1583345174,79,-16.48,-151.75,81.73,10.6
Arraial do Cabo,75,BR,1583345174,74,-22.97,-42.03,78.8,13.87
Amuntai,100,ID,1583345174,95,-2.42,115.25,73.56,1.34
Cape Town,20,ZA,1583345174,88,-33.93,18.42,71.01,8.05
Alofi,17,NU,1583345174,100,-19.06,-169.92,69.8,1.12
Bredasdorp,1,ZA,1583345174,60,-34.53,20.04,71.6,10.29
Mount Gambier,90,AU,1583345175,100,-37.83,140.77,59.0,6.93
Bloemhof,0,ZA,1583345175,35,-27.65,25.61,73.04,9.57
Avarua,1,CK,1583345175,100,-21.21,-159.78,77.0,2.24
Geraldton,67,AU,1583345175,83,-28.77,114.6,71.6,4.7
Dikson,92,RU,1583345175,99,73.51,80.55,-11.6,11.92
Punta Arenas,90,CL,1583344992,87,-53.15,-70.92,53.6,2.24
Tuktoyaktuk,75,CA,1583345175,65,69.45,-133.04,-34.6,11.41
Tyler,90,US,1583345175,93,32.35,-95.3,55.99,13.87
Thompson,90,CA,1583345174,72,55.74,-97.86,17.6,3.36
Hermanus,33,ZA,1583345176,88,-34.42,19.23,66.99,1.99
Ola,100,RU,1583345176,97,59.58,151.28,7.48,0.74
Baturinskaya,12,RU,1583345176,53,45.79,39.37,55.99,4.72
Khatanga,88,RU,1583345176,100,71.97,102.5,-4.94,1.97
Mahébourg,75,MU,1583345176,100,-20.41,57.7,80.01,5.14
Gijón,40,ES,1583345145,48,43.54,-5.66,66.2,13.87
Ilulissat,20,GL,1583345165,52,69.22,-51.1,-7.6,4.7
Hasaki,75,JP,1583345177,100,35.73,140.83,46.4,6.93
Vaini,20,TO,1583345177,88,-21.2,-175.2,75.2,4.7
Caravelas,68,BR,1583345177,80,-17.71,-39.25,81.99,16.02
Vila,75,PT,1583345177,100,42.03,-8.16,62.01,13.87
Port Alfred,0,ZA,1583345177,76,-33.59,26.89,76.05,7.72
Willowmore,28,ZA,1583345177,37,-33.29,23.49,77.72,9.48
East London,0,ZA,1583345177,78,-33.02,27.91,80.6,4.7
Alekseyevka,50,RU,1583345177,87,50.63,38.69,44.47,7.87
La Ronge,75,CA,1583344984,92,55.1,-105.28,15.8,9.17
Nanortalik,0,GL,1583345178,60,60.14,-45.24,20.39,15.88
Burnie,100,AU,1583345178,97,-41.07,145.92,60.01,14.0
Nyurba,67,RU,1583345178,98,63.28,118.33,-2.9,2.93
Beringovskiy,0,RU,1583345178,61,63.05,179.32,1.17,3.83
Togur,100,RU,1583345178,96,58.36,82.83,31.86,13.15
Ahipara,99,NZ,1583345178,100,-35.17,173.17,63.0,6.82
Mendi,100,PG,1583345178,99,-6.18,143.65,57.24,2.26
Ejido,18,VE,1583345179,55,8.55,-71.24,62.91,7.09
Saint-Philippe,75,RE,1583345179,88,-21.36,55.77,80.6,5.82
Verāval,0,IN,1583345179,87,20.9,70.37,67.96,7.07
Gashua,4,NG,1583345179,10,12.87,11.05,87.78,9.15
Varhaug,40,NO,1583345179,86,58.61,5.65,39.99,3.36
Faya,0,SA,1583345179,77,18.39,42.45,64.4,8.05
Hobart,90,AU,1583345179,93,-42.88,147.33,60.8,6.93
Raudeberg,75,NO,1583345180,65,61.99,5.14,41.0,11.41
